Branch Code,Credit Card No,DAY,Document Index (generated),Month,Transaction Id,Transaction Type,Year,Cust Ssn,Transaction Value
114,4210653349028689,14,1,2,1,Education,2018,123459988,78.9
35,4210653349028689,20,2,3,2,Entertainment,2018,123459988,14.24
160,4210653349028689,8,3,7,3,Grocery,2018,123459988,56.7
114,4210653349028689,19,4,4,4,Entertainment,2018,123459988,59.73
93,4210653349028689,10,5,10,5,Gas,2018,123459988,3.59
164,4210653349028689,28,6,5,6,Education,2018,123459988,6.89
119,4210653349028689,19,7,5,7,Entertainment,2018,123459988,43.39
23,4210653349028689,8,8,8,8,Gas,2018,123459988,95.39
166,4210653349028689,18,9,3,9,Entertainment,2018,123459988,93.26
83,4210653349028689,3,10,9,10,Bills,2018,123459988,100.38
52,4210653349028689,21,11,8,11,Gas,2018,123459988,98.75
17,4210653349028689,24,12,12,12,Gas,2018,123459988,42.71
80,4210653349028689,3,13,4,13,Grocery,2018,123459988,40.24
50,4210653349028689,15,14,4,14,Bills,2018,123459988,17.81
123,4210653349028689,17,15,5,15,Bills,2018,123459988,29
9,4210653349028689,6,16,7,16,Test,2018,123459988,70.63
3,4210653349028689,28,17,9,17,Test,2018,123459988,27.04
135,4210653349028689,4,18,7,18,Entertainment,2018,123459988,88.75
103,4210653349028689,24,19,4,19,Test,2018,123459988,77.02
78,4210653349028689,8,20,10,20,Bills,2018,123459988,34.34
156,4210653349028689,23,21,10,21,Education,2018,123459988,10.56
20,4210653349028689,13,22,8,22,Education,2018,123459988,6.7
44,4210653349028689,17,23,3,23,Bills,2018,123459988,7.97
54,4210653349028689,11,24,5,24,Test,2018,123459988,32.81
119,4210653349028689,3,25,3,25,Entertainment,2018,123459988,35.02
121,4210653349028689,11,26,5,26,Test,2018,123459988,86.3
19,4210653349028689,14,27,12,27,Test,2018,123459988,82.05
43,4210653349028689,6,28,8,28,Healthcare,2018,123459988,98.78
7,4210653349028689,14,29,10,29,Grocery,2018,123459988,9.49
29,4210653349028689,4,30,12,30,Gas,2018,123459988,17.03
123,4210653349028689,24,31,10,31,Grocery,2018,123459988,54.49
66,4210653349028689,12,32,12,32,Education,2018,123459988,13.34
117,4210653349028689,20,33,10,33,Healthcare,2018,123459988,24.37
72,4210653349028689,9,34,11,34,Entertainment,2018,123459988,53.03
95,4210653349028689,9,35,9,35,Test,2018,123459988,96.55
32,4210653349028689,28,36,9,36,Education,2018,123459988,62.82
104,4210653349028689,12,37,4,37,Education,2018,123459988,73.99
158,4210653349028689,6,38,9,38,Education,2018,123459988,63.08
70,4210653349028689,5,39,10,39,Entertainment,2018,123459988,46.84
69,4210653349028689,16,40,1,40,Entertainment,2018,123459988,96.29
26,4210653349028689,7,41,3,41,Education,2018,123459988,25.01
27,4210653349028689,20,42,11,42,Bills,2018,123459988,30.95
79,4210653349028689,4,43,6,43,Gas,2018,123459988,83.33
36,4210653349028689,13,44,11,44,Healthcare,2018,123459988,79.91
124,4210653349028689,8,45,9,45,Healthcare,2018,123459988,20.81
104,4210653349028689,21,46,1,46,Bills,2018,123459988,4.95
50,4210653349028689,28,47,4,47,Grocery,2018,123459988,41.62
20,4210653349028689,12,48,5,48,Education,2018,123459988,3.79
69,4210653349028689,26,49,8,49,Healthcare,2018,123459988,26.34
76,4210653349028689,2,50,1,50,Entertainment,2018,123459988,53.49
93,4210653349028689,4,51,3,51,Gas,2018,123459988,73.45
80,4210653349028689,9,52,12,52,Entertainment,2018,123459988,15.89
43,4210653349028689,14,53,4,53,Grocery,2018,123459988,16.99
59,4210653349028689,3,54,2,54,Healthcare,2018,123459988,31.87
158,4210653349028689,21,55,12,55,Healthcare,2018,123459988,30.58
27,4210653349028689,11,56,1,56,Grocery,2018,123459988,4.19
126,4210653349028689,27,57,11,57,Bills,2018,123459988,1.32
59,4210653349028689,9,58,8,58,Bills,2018,123459988,13.72
